ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
966,BMW,M4 COUPE,COMPACT,3.0,6,AM7,Z,13.5,9.9,11.9,24,280
967,BMW,435i GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.4,7.4,,29,221
968,ROLLS-ROYCE,Phantom,FULL-SIZE,6.7,12,AS8,Z,20.0,11.8,16.3,17,382
969,GMC,TERRAIN,SUV - SMALL,3.6,6,A6,X,14.1,,12.1,23,285
970,MINI,Cooper Convertible,MINICOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184
971,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.1,7.4,9.4,30,216
972,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237
973,ACURA,MDX SH-AWD A-SPEC,SUV - SMALL,3.5,6,AS9,Z,12.2,9.5,,26,258
974,VOLKSWAGEN,JETTA HYBRID,COMPACT,1.4,4,AM7,Z,5.6,4.9,5.3,53,122
975,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224
976,GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.1,8.4,10.4,27,280
977,NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12.5,9.5,11.1,25,255
978,LEXUS,IS 250 C,SUBCOMPACT,2.5,6,AS6,Z,11.2,7.8,9.6,29,221
979,PORSCHE,911 TARGA 4 GTS,MINICOMPACT,3.0,6,M7,Z,13.2,9.2,11.4,25,266
980,JEEP,COMPASS,SUV - SMALL,2.0,4,AV,X,10.8,8.9,10.0,28,234
981,FORD,F-150 Raptor 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,15.3,,14.3,20,336
982,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
983,JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,,21,315
984,FORD,FOCUS ST,MID-SIZE,2.0,4,M6,X,10.5,7.8,9.3,30,219
985,LINCOLN,MKZ AWD,MID-SIZE,2.0,4,AS6,X,12.1,8.4,,27,245
986,JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6,A9,X,12.2,9.0,10.8,26,248
987,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.4,12.7,22,298
988,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.7,13.4,16.3,17,271
989,NISSAN,Kicks,MID-SIZE,1.6,4,AV,X,7.7,6.6,7.2,39,169
990,GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.9,10.5,27,247
991,PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,12.9,9.2,11.2,25,258
992,GMC,YUKON DENALI AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338
993,GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.5,11.3,25,260
994,PORSCHE,CAYMAN S,TWO-SEATER,2.5,4,AM7,Z,11.0,8.4,9.9,29,230
995,MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4,AS7,D,9.6,7.0,8.5,33,230
996,HONDA,Accord,FULL-SIZE,1.5,4,AV,X,7.9,,7.2,39,168
997,INFINITI,Q50 AWD,MID-SIZE,3.0,6,AS7,Z,12.5,8.7,10.8,26,254
998,MAZDA,CX-3 4WD,COMPACT,2.0,4,AS6,X,8.6,7.4,8.1,35,189
999,MAZDA,CX-3,COMPACT,2.0,4,AS6,X,8.2,6.7,7.6,37,179
1000,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
1001,LEXUS,RX 450h AWD,SUV - SMALL,3.5,6,AV6,Z,8.0,,8.2,34,189
1002,LEXUS,LS 600h L,MID-SIZE,5.0,8,AV8,Z,12.7,10.1,11.5,25,268
1003,AUDI,S3 QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.1,7.7,9.0,31,211
1004,MINI,Cooper S Convertible,MINICOMPACT,2.0,4,AS6,Z,9.4,7.2,,34,197
1005,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.1,8.5,10.0,28,233
1006,AUDI,A6 allroad,MID-SIZE,3.0,6,AM7,Z,11.8,9.1,10.6,27,247
1007,KIA,SOUL,STATION WAGON - SMALL,2.0,4,AS6,X,9.5,7.8,8.7,32,206
1008,CADILLAC,CT6,FULL-SIZE,2.0,4,AS8,Z,11.0,7.6,9.5,30,222
1009,DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285
1010,PORSCHE,Panamera,FULL-SIZE,3.0,6,AM8,Z,12.4,8.7,10.7,26,250
1011,MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,M6,X,8.5,6.2,,38,175
1012,MERCEDES-BENZ,B 250,MID-SIZE,2.0,4,AM7,Z,9.8,6.8,8.4,34,196
1013,MERCEDES-BENZ,S 450 4MATIC SWB,MID-SIZE,3.0,6,A9,Z,12.8,,10.9,26,255
1014,MERCEDES-BENZ,AMG C 63 S,COMPACT,4.0,8,A9,Z,13.2,8.7,,25,263
1015,BMW,230i xDrive Coupe,SUBCOMPACT,2.0,4,AS8,Z,10.9,7.5,9.4,30,219
1016,NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,12.0,8.9,10.6,27,244
1017,GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.0,9.2,10.7,26,252
1018,CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,11.4,7.9,9.8,29,225
1019,BMW,230i COUPE,SUBCOMPACT,2.0,4,M6,Z,11.1,7.3,9.4,30,219
1020,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,X,,12.6,,19,343
1021,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
1022,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,14.3,9.3,,23,283
1023,PORSCHE,MACAN,SUV - SMALL,2.0,4,A7,Z,11.6,9.3,10.6,27,248
1024,LAND ROVER,Range Rover Sport 3.0,SUV - STANDARD,3.0,6,AS8,Z,12.6,9.6,11.3,25,264
1025,CHEVROLET,Camaro SS,SUBCOMPACT,6.2,8,AS10,Z,14.6,8.9,12.1,23,282
1026,MITSUBISHI,LANCER RALLIART,COMPACT,2.0,4,AM6,Z,,9.4,11.6,24,267
1027,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,12.8,8.9,11.0,26,253
1028,BUICK,LACROSSE,MID-SIZE,3.6,6,AS8,X,11.2,7.5,9.5,30,224
1029,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.1,8.4,10.5,27,246
1030,CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,2.7,4,A8,X,12.5,10.8,,24,275
1031,KIA,SORENTO AWD,SUV - SMALL,2.4,4,AS6,X,11.5,9.3,,27,246
1032,CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.2,7.9,10.3,27,237
1033,MERCEDES-BENZ,AMG S 63 4MATIC+ Cabriolet,SUBCOMPACT,4.0,8,A9,Z,15.8,9.8,13.1,22,306
1034,RAM,1500 HFE,PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.9,9.3,11.3,25,260
1035,GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.0,9.2,11.3,25,265
1036,CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,AS10,Z,19.0,11.6,,18,367
1037,NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
1038,PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,M7,Z,12.9,9.0,11.2,25,258
1039,TOYOTA,Camry Hybrid LE,MID-SIZE,2.5,4,AV6,X,4.9,4.8,4.9,58,113
1040,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.7,9.7,12.5,23,292
1041,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,M5,X,9.5,7.0,8.4,34,193
1042,CHEVROLET,Corvette Z06,TWO-SEATER,6.2,8,AS8,Z,,10.1,14.0,20,331
1043,TOYOTA,Yaris Hatchback,COMPACT,1.5,4,A4,X,,6.8,7.4,38,173
1044,KIA,SOUL,STATION WAGON - SMALL,1.6,4,AS6,X,9.8,7.8,8.9,32,206
1045,GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
1046,TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,AV,X,7.7,5.6,6.8,42,156
1047,MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.7,6.6,7.7,37,181
1048,NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.7,7.4,8.7,32,205
1049,MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.7,,8.8,32,206
1050,LEXUS,LX 570,SUV - STANDARD,5.7,8,AS8,Z,18.2,12.8,15.8,18,371
1051,NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.1,11.5,13.5,21,317
1052,FORD,MUSTANG (Performance Pkg),SUBCOMPACT,5.0,8,M6,X,16.7,10.2,13.8,20,324
1053,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,235
1054,MERCEDES-BENZ,AMG CLS 53 4MATIC+,COMPACT,3.0,6,A9,Z,12.4,8.7,10.7,26,235
1055,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382
1056,INFINITI,Q60S RED SPORT AWD,SUBCOMPACT,3.0,6,AS7,Z,,9.2,11.0,26,259
1057,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
1058,BUICK,REGAL AWD,FULL-SIZE,2.0,4,AS8,Z,11.0,8.0,9.6,29,227
1059,JAGUAR,F-PACE 35t,SUV - SMALL,3.0,6,AS8,Z,13.3,10.0,11.8,24,277
1060,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,X,10.1,7.8,9.1,31,209
1061,HONDA,CIVIC COUPE,COMPACT,1.5,4,M6,X,7.7,5.7,6.8,42,159
1062,MINI,John Cooper Works Convertible,MINICOMPACT,2.0,4,AS8,Z,9.4,7.1,8.3,34,194
1063,PORSCHE,911 CARRERA,MINICOMPACT,3.0,6,M7,Z,11.8,8.1,10.1,28,237
1064,JEEP,NEW COMPASS 4X4,SUV - SMALL,2.4,4,A9,X,,,9.5,30,222
1065,TOYOTA,YARIS,COMPACT,1.5,4,A4,X,7.9,6.6,7.3,39,168
1066,CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,15.0,13.0,14.1,20,331
1067,KIA,OPTIMA FE,FULL-SIZE,2.4,4,AS6,X,9.3,6.6,8.0,35,190
1068,JAGUAR,XJR LWB,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
1069,FORD,Shelby GT350 Mustang,SUBCOMPACT,5.2,8,M6,Z,17.2,11.3,,19,341
1070,FORD,FOCUS FFV,COMPACT,2.0,4,M5,X,9.1,6.6,8.0,35,184
1071,ACURA,MDX Hybrid AWD,SUV - SMALL,3.0,6,AM7,Z,9.1,9.0,,31,210
1072,MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,413
1073,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
1074,BMW,X3 xDrive30i,SUV - SMALL,2.0,4,AS8,Z,10.0,8.2,9.2,31,215
1075,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,16.1,10.8,13.7,21,323
1076,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362
1077,BMW,440i xDRIVE COUPE,COMPACT,3.0,6,AS8,Z,11.1,7.5,,30,223
1078,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,341
1079,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,19.6,11.7,16.0,18,375
1080,PORSCHE,BOXSTER S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27,245
1081,JEEP,PATRIOT,SUV - SMALL,2.4,4,A6,X,11.1,8.3,9.8,29,225
1082,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A6,Z,16.2,11.4,14.0,20,322
1083,KIA,SORENTO,SUV - SMALL,2.0,4,AS6,X,11.7,8.6,10.3,27,245
1084,LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,12.2,8.7,10.6,27,244
1085,LAND ROVER,Range Rover 3.0,SUV - STANDARD,3.0,6,AS8,Z,12.2,9.4,11.0,26,258
1086,MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,3.0,6,AS7,Z,15.2,12.6,14.0,20,322
1087,TOYOTA,COROLLA iM,MID-SIZE,1.8,4,M6,X,8.8,6.8,7.9,36,185
1088,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
1089,MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.9,8.2,10.2,28,235
1090,KIA,RIO ECO,COMPACT,1.6,4,A6,X,8.5,6.4,,37,175
1091,NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.2,8.3,9.9,29,228
1092,BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4,AS8,D,8.6,6.9,,36,211
1093,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.8,12.3,14.2,20,334
1094,KIA,SOUL,STATION WAGON - SMALL,1.6,4,M6,X,9.9,7.8,9.0,31,207
1095,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.7,11.4,13.8,20,322
1096,GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A8,Z,16.3,11.7,14.2,20,333
1097,BMW,X4 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,,8.8,10.9,26,257
1098,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,,35,217
1099,BUICK,Envision AWD,SUV - SMALL,2.0,4,A9,Z,11.7,9.4,10.7,26,250
1100,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.7,9.8,11.4,25,268
1101,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,23.0,16.0,19.8,14,465
1102,HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,AS6,X,11.7,8.7,10.3,27,239
1103,FORD,MUSTANG,SUBCOMPACT,3.7,6,AS6,X,12.6,8.5,10.7,26,253
1104,TOYOTA,HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6,AV6,X,8.0,8.6,8.3,34,191
1105,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Z,10.4,7.7,9.2,31,212
1106,TOYOTA,CAMRY,MID-SIZE,2.5,4,AS8,X,8.1,5.7,6.9,41,164
1107,VOLKSWAGEN,Beetle Dune Convertible,SUBCOMPACT,2.0,4,AS6,X,9.1,6.9,8.1,35,189
1108,VOLKSWAGEN,JETTA,COMPACT,1.8,4,AM6,X,9.4,6.8,8.2,34,193
1109,HYUNDAI,IONIQ BLUE,FULL-SIZE,1.6,4,AM6,X,4.2,4.0,4.1,69,96
1110,FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.8,12.4,14.8,19,347
1111,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,11.3,7.1,9.4,30,221
1112,LEXUS,RX 450h AWD,SUV - STANDARD,3.5,6,AV6,Z,7.5,8.4,7.9,36,185
1113,TOYOTA,RAV4 Hybrid AWD,SUV - SMALL,2.5,4,AV6,X,,6.3,6.0,47,140
1114,TOYOTA,Corolla LE Eco,MID-SIZE,1.8,4,AV,X,7.8,5.9,6.9,41,163
1115,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.4,17.1,17,284
1116,LEXUS,IS 300 AWD,COMPACT,3.5,6,AS6,Z,,9.1,10.9,26,254
1117,VOLVO,S60 INSCRIPTION T5 AWD,COMPACT,2.0,4,AS8,X,10.7,7.8,9.4,30,219
1118,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
1119,NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,12.3,,11.0,26,253
1120,KIA,FORTE,MID-SIZE,2.0,4,M6,X,9.4,6.8,8.3,34,195
1121,ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,A8,Z,18.7,11.8,15.6,18,359
1122,TOYOTA,SIENNA,MINIVAN,3.5,6,AS6,X,12.9,9.4,,25,260
1123,NISSAN,MICRA,COMPACT,1.6,4,A4,X,8.8,6.6,7.8,36,179
1124,FORD,Taurus FFV,FULL-SIZE,3.5,6,AS6,X,13.5,9.0,11.5,25,270
1125,DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.6,9.7,12.9,22,302
1126,FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.7,12.3,23,288
1127,HYUNDAI,SONATA,FULL-SIZE,2.0,4,AS6,X,10.4,7.4,9.1,31,209
1128,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.6,11.7,13.8,20,324
1129,MERCEDES-BENZ,AMG C 63 S,COMPACT,4.0,8,A9,Z,,8.7,11.2,25,263
1130,ALFA ROMEO,GIULIA,MID-SIZE,2.0,4,A8,Z,10.0,7.2,8.7,32,205
1131,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
1132,DODGE,DART,MID-SIZE,2.0,4,M6,X,9.4,6.5,8.1,35,189
1133,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.2,7.8,8.1,35,190
1134,CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,13.3,10.6,12.1,23,326
1135,MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,7.9,5.7,6.9,41,159
1136,MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.5,6.2,7.5,38,175
1137,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15.0,10.2,12.8,22,302
1138,NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.6,7.4,8.6,33,203
1139,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,257
1140,GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.7,14.0,20,330
1141,AUDI,A7 quattro,MID-SIZE,3.0,6,AM7,Z,10.7,8.2,9.6,29,224
1142,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,9.3,30,214
1143,HONDA,HR-V AWD,STATION WAGON - SMALL,1.8,4,AV,X,8.9,,8.2,34,194
1144,VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,9.4,6.7,8.2,34,189
1145,JEEP,NEW COMPASS 4X4,SUV - SMALL,2.4,4,M6,X,10.8,7.6,9.4,30,221
1146,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,15.0,11.4,13.4,21,308
1147,SUBARU,LEGACY AWD,MID-SIZE,3.6,6,AV6,X,11.9,8.2,10.2,28,239
1148,MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4,M6,Z,10.0,7.0,8.7,32,203
1149,ASTON MARTIN,DBS Superleggera,MINICOMPACT,5.2,12,A8,Z,16.4,10.7,13.8,20,324
1150,PORSCHE,CAYMAN,TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228
1151,LEXUS,IS 300 AWD,COMPACT,3.5,6,AS6,Z,12.3,9.1,10.9,26,254
1152,PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.0,6,M7,Z,12.0,8.2,10.3,27,241
1153,JEEP,Cherokee 4X4 Active Drive II,SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25,259
1154,HYUNDAI,Veloster Turbo,COMPACT,1.6,4,AM7,X,,6.9,7.8,36,184
1155,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172
1156,MERCEDES-BENZ,E 400 4MATIC COUPE,SUBCOMPACT,3.0,6,AS7,Z,11.8,,10.2,28,239
1157,BMW,M4 Coupe,COMPACT,3.0,6,M6,Z,13.4,9.6,11.7,24,273
1158,BMW,440i xDrive Coupe,COMPACT,3.0,6,M6,Z,13.0,8.5,11.0,26,256
1159,JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A9,E,14.4,10.2,12.5,23,206
1160,MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.3,7.3,8.4,34,197
1161,ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,20.0,12.6,16.7,17,390
1162,MERCEDES-BENZ,AMG C 63 S,COMPACT,4.0,8,A7,Z,13.4,9.6,,24,274
1163,CADILLAC,CTS AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.5,10.6,27,244
1164,MAZDA,Mazda3 4-Door,COMPACT,2.5,4,AS6,X,8.8,6.4,7.7,37,181
1165,MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,A7,Z,18.2,16.5,17.5,16,410
1166,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191
1167,FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,10.8,7.5,9.3,30,214
1168,HYUNDAI,ACCENT,COMPACT,1.6,4,AS6,X,8.3,6.2,7.4,38,173
1169,MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,3.0,6,AS7,Z,15.2,12.6,14.0,20,298
1170,MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.3,9.7,29,226
1171,MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5,38,172
1172,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,AS6,X,,7.3,8.7,32,200
1173,SUBARU,BRZ tS,MINICOMPACT,2.0,4,M6,Z,11.6,8.6,10.2,28,239
1174,LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,22.2,12.7,17.9,16,420
1175,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.7,12.4,15.8,18,253
1176,MERCEDES-BENZ,C 63 AMG,COMPACT,6.2,8,AS7,Z,17.7,11.9,15.1,19,347
1177,CADILLAC,CT6 AWD,FULL-SIZE,3.0,6,AS8,Z,13.0,9.0,11.2,25,263
1178,KIA,RIO,COMPACT,1.6,4,AS6,X,8.8,6.3,7.7,37,177
1179,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.2,10.7,13.1,22,309
1180,VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6,AM6,Z,11.9,8.5,10.4,27,239
1181,SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,M6,X,10.9,8.3,9.7,29,228
1182,HONDA,Civic Coupe Si,COMPACT,1.5,4,M6,Z,8.9,6.4,7.8,36,183
1183,MERCEDES-BENZ,E 450 4MATIC Cabriolet,SUBCOMPACT,3.0,6,A9,Z,12.7,10.1,11.6,24,271
1184,HONDA,ACCORD SEDAN,MID-SIZE,2.4,4,AV,X,8.6,6.4,7.6,37,177
1185,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,,20,320
1186,CADILLAC,CT5,MID-SIZE,3.0,6,AS10,Z,12.6,9.1,11.0,26,256
1187,RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,D,11.6,8.4,10.2,28,272
1188,CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,E,20.0,13.5,17.1,17,284
1189,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29,226
1190,CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,5.3,8,A8,X,13.9,10.1,12.2,23,286
1191,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,11.5,8.2,10.0,28,238
1192,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,183
1193,LINCOLN,MKZ AWD,MID-SIZE,2.0,4,AS6,X,10.8,7.5,9.3,30,220
1194,MERCEDES-BENZ,AMG C 43 4MATIC,COMPACT,3.0,6,A9,Z,12.4,8.7,10.7,26,253
1195,VOLKSWAGEN,JETTA,COMPACT,1.8,4,AS6,X,9.2,6.4,8.0,35,186
1196,DODGE,DART FFV,MID-SIZE,2.0,4,A6,X,9.9,7.0,8.6,33,198
1197,MAZDA,CX-3 (SIL),COMPACT,2.0,4,M6,X,8.8,7.0,8.0,35,186
1198,TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,18.4,13.8,16.4,17,384
1199,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.5,9.5,12.8,22,300
1200,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432
1201,JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,,21,313
1202,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.6,12.4,14.7,19,338
1203,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,M5,X,9.5,,8.4,34,197
1204,VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,A6,Z,14.3,9.8,12.3,23,283
1205,KIA,Niro Touring,STATION WAGON - SMALL,1.6,4,AM6,X,5.1,5.8,5.4,52,129
1206,DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8,A8,Z,17.6,10.7,14.5,19,339
1207,DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.0,10.1,13.3,21,312
1208,TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,X,4.4,4.6,4.5,63,105
1209,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.3,8.6,9.5,30,222
1210,LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,8.0,6.9,7.5,38,176
1211,MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,2.0,4,A9,Z,11.0,8.1,9.7,29,227
1212,MERCEDES-BENZ,CLA 250 4MATIC,MINICOMPACT,2.0,4,AM7,Z,9.9,,8.7,32,204
1213,TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS6,X,10.5,8.3,9.5,30,222
